epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0932,1.35934,2.96705,1.59105,0.78135,0.1,0.29658,0.14713,1.47573,3.71711,1.79167,0.000543038,0.000543038,0.000543038
2,58.0078,1.46559,2.55994,1.64394,0.27187,0.28421,0.1934,0.07467,1.92855,3.78363,2.41521,0.00107695,0.00107695,0.00107695
3,65.5905,1.50546,2.39806,1.67528,0.17417,0.31053,0.16881,0.07196,1.93808,9.03707,2.35274,0.00158886,0.00158886,0.00158886
4,73.0579,1.5748,2.30151,1.7143,0.21486,0.26316,0.17585,0.06358,2.01494,4.14226,2.4189,0.00156798,0.00156798,0.00156798
5,80.5483,1.51162,2.09855,1.6799,0.31375,0.34891,0.26938,0.09334,2.08242,3.13139,2.40678,0.00153497,0.00153497,0.00153497
6,88.1829,1.43381,1.96339,1.60364,0.56458,0.31393,0.37068,0.17635,1.73914,3.6926,2.02062,0.00150197,0.00150197,0.00150197
7,95.7746,1.4592,1.88434,1.60603,0.48316,0.35263,0.3792,0.1833,1.83269,2.62865,2.06013,0.00146896,0.00146896,0.00146896
8,103.535,1.48255,1.86967,1.60635,0.4558,0.39234,0.38654,0.1918,1.69454,2.22954,1.90131,0.00143595,0.00143595,0.00143595
9,111.134,1.44038,1.78833,1.61599,0.47231,0.44211,0.41994,0.21558,1.74444,2.09433,1.93521,0.00140295,0.00140295,0.00140295
10,118.727,1.40689,1.7024,1.56901,0.48481,0.47368,0.43179,0.20894,1.66949,2.19879,1.91638,0.00136994,0.00136994,0.00136994
11,126.272,1.36577,1.65845,1.55302,0.51428,0.42105,0.46186,0.24323,1.57048,2.0522,1.7334,0.00133693,0.00133693,0.00133693
12,133.799,1.27852,1.5573,1.46627,0.44942,0.51985,0.46207,0.2332,1.69317,2.15085,1.92768,0.00130393,0.00130393,0.00130393
13,141.215,1.32937,1.5845,1.49616,0.48413,0.47895,0.50994,0.26968,1.57356,1.90682,1.80539,0.00127092,0.00127092,0.00127092
14,148.585,1.31285,1.52178,1.4997,0.5704,0.48219,0.52483,0.28955,1.50849,1.80279,1.70721,0.00123791,0.00123791,0.00123791
15,156.093,1.28143,1.52958,1.47852,0.51112,0.51053,0.5216,0.31118,1.52538,1.70774,1.69485,0.00120491,0.00120491,0.00120491
16,163.489,1.26144,1.44553,1.46572,0.5689,0.42632,0.49542,0.27811,1.56977,1.80621,1.76939,0.0011719,0.0011719,0.0011719
17,170.948,1.23925,1.46036,1.42413,0.61475,0.51053,0.56329,0.31486,1.6048,1.67065,1.73909,0.00113889,0.00113889,0.00113889
18,178.302,1.22248,1.39758,1.41329,0.60085,0.51498,0.54862,0.33375,1.47987,1.77584,1.74924,0.00110589,0.00110589,0.00110589
19,185.688,1.19133,1.36586,1.40277,0.5573,0.55655,0.58509,0.33015,1.46588,1.72798,1.69895,0.00107288,0.00107288,0.00107288
20,193.287,1.16363,1.33981,1.38966,0.71074,0.44737,0.54198,0.31832,1.52528,1.79028,1.68913,0.00103987,0.00103987,0.00103987
21,200.9,1.14175,1.31364,1.37774,0.56793,0.52105,0.54859,0.33006,1.41086,1.67871,1.64459,0.00100687,0.00100687,0.00100687
